TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL2219223,0.484375,0.48422477299442246,0.0,0.0,0.644+/-0.055,0.69+/-0.033,0.708+/-0.046,0.752+/-0.084,
CHEMBL2219225,0.5,0.49245904432821336,0.0,0.0,0.764+/-0.04,0.785+/-0.04,0.833+/-0.031,0.85+/-0.075,
CHEMBL2219232,0.5,0.49245904432821336,0.0,0.0,0.66+/-0.035,0.687+/-0.038,0.719+/-0.037,0.792+/-0.054,
CHEMBL2219236,0.5,0.49245904432821336,0.0,0.0,0.762+/-0.041,0.792+/-0.033,0.802+/-0.037,0.8+/-0.064,
CHEMBL2219242,0.4375,0.4422130972948666,0.0,0.0,0.616+/-0.049,0.638+/-0.054,0.671+/-0.037,0.661+/-0.094,
CHEMBL2219244,0.494140625,0.48868599468282325,0.0,0.0,0.852+/-0.028,0.874+/-0.021,0.895+/-0.027,0.925+/-0.052,
CHEMBL2219252,0.5,0.49245904432821336,0.0,0.0,0.637+/-0.074,0.657+/-0.045,0.648+/-0.036,0.718+/-0.072,
CHEMBL2219267,0.5,0.49245904432821336,0.0,0.0,0.653+/-0.06,0.671+/-0.047,0.715+/-0.05,0.741+/-0.13,
CHEMBL2219270,0.484375,0.48422477299442246,0.0,0.0,0.564+/-0.072,0.589+/-0.08,0.594+/-0.047,0.694+/-0.064,
CHEMBL2219272,0.5,0.49245904432821336,0.0,0.0,0.81+/-0.031,0.82+/-0.025,0.828+/-0.023,0.806+/-0.084,
CHEMBL2219274,0.494140625,0.48868599468282325,0.0,0.0,0.885+/-0.019,0.891+/-0.019,0.903+/-0.025,0.933+/-0.044,
CHEMBL2219283,0.4609375,0.4606816399624484,0.0,0.0,0.694+/-0.046,0.713+/-0.035,0.741+/-0.027,0.765+/-0.095,
CHEMBL2219286,0.494140625,0.48868599468282325,0.0,0.0,0.854+/-0.021,0.856+/-0.021,0.887+/-0.04,0.927+/-0.068,
CHEMBL2219297,0.482421875,0.47776355130602166,0.0,0.0,0.878+/-0.045,0.918+/-0.019,0.941+/-0.018,0.942+/-0.032,
CHEMBL2219305,0.484375,0.48422477299442246,0.0,0.0,0.776+/-0.062,0.826+/-0.036,0.823+/-0.047,0.897+/-0.047,
CHEMBL2219308,0.5,0.49245904432821336,0.0,0.0,0.792+/-0.031,0.803+/-0.027,0.804+/-0.036,0.867+/-0.068,
CHEMBL2219334,0.484375,0.48422477299442246,0.0,0.0,0.572+/-0.094,0.607+/-0.061,0.61+/-0.033,0.623+/-0.094,
CHEMBL2219335,0.482421875,0.47776355130602166,0.0,0.0,0.63+/-0.038,0.612+/-0.062,0.63+/-0.041,0.68+/-0.069,
CHEMBL2219340,0.494140625,0.48868599468282325,0.0,0.0,0.792+/-0.026,0.818+/-0.035,0.851+/-0.03,0.882+/-0.066,
CHEMBL2219352,0.484375,0.48422477299442246,0.0,0.0,0.518+/-0.059,0.536+/-0.057,0.54+/-0.043,0.589+/-0.082,
CHEMBL2219355,0.494140625,0.48868599468282325,0.0,0.0,0.797+/-0.043,0.832+/-0.029,0.862+/-0.046,0.902+/-0.04,
CHEMBL2219358,0.5,0.49245904432821336,0.0,0.0,0.666+/-0.069,0.725+/-0.027,0.748+/-0.034,0.817+/-0.082,
CHEMBL2219359,0.482421875,0.47776355130602166,0.0,0.0,0.598+/-0.054,0.641+/-0.045,0.613+/-0.028,0.677+/-0.074,
CHEMBL2219363,0.5,0.49245904432821336,0.0,0.0,0.67+/-0.09,0.726+/-0.03,0.738+/-0.044,0.777+/-0.072,
CHEMBL2219366,0.5,0.49245904432821336,0.0,0.0,0.773+/-0.022,0.796+/-0.018,0.808+/-0.043,0.795+/-0.096,
CHEMBL2219375,0.494140625,0.48868599468282325,0.0,0.0,0.756+/-0.068,0.83+/-0.034,0.842+/-0.035,0.831+/-0.082,
CHEMBL2219389,0.5,0.49245904432821336,0.0,0.0,0.836+/-0.035,0.84+/-0.019,0.858+/-0.024,0.859+/-0.086,
CHEMBL2219399,0.4609375,0.4606816399624484,0.0,0.0,0.652+/-0.048,0.67+/-0.042,0.682+/-0.05,0.735+/-0.104,
CHEMBL2219404,0.482421875,0.47776355130602166,0.0,0.0,0.805+/-0.047,0.853+/-0.041,0.874+/-0.046,0.879+/-0.082,
CHEMBL2219407,0.482421875,0.47776355130602166,0.0,0.0,0.671+/-0.04,0.691+/-0.041,0.682+/-0.032,0.731+/-0.127,
CHEMBL2219408,0.4765625,0.47399050166063156,0.0,0.0,0.609+/-0.068,0.691+/-0.05,0.776+/-0.033,0.861+/-0.073,
CHEMBL2354305,0.5,0.5,0.0,0.0,0.537+/-0.055,0.541+/-0.044,0.58+/-0.047,0.622+/-0.055,
CHEMBL3214944,0.5,0.4978231602323461,0.0,0.0,0.571+/-0.073,0.618+/-0.053,0.665+/-0.028,0.684+/-0.021,0.703+/-0.016
CHEMBL3431930,0.5,0.5,0.0,0.0,0.83+/-0.029,0.84+/-0.025,0.855+/-0.035,0.882+/-0.013,0.883+/-0.014
CHEMBL3431932,0.5,0.49849218413019186,0.0,0.0,0.744+/-0.049,0.764+/-0.028,0.786+/-0.032,0.814+/-0.02,0.809+/-0.024
CHEMBL3431933,0.5,0.5,0.0,0.0,0.572+/-0.059,0.613+/-0.054,0.64+/-0.033,0.705+/-0.032,0.733+/-0.034
CHEMBL3705334,0.5,0.4879740100910239,0.0,0.0,0.75+/-0.031,0.719+/-0.044,0.735+/-0.042,0.746+/-0.119,
CHEMBL3705469,0.5,0.4920812032586027,0.0,0.0,0.599+/-0.088,0.659+/-0.037,0.699+/-0.067,0.728+/-0.114,
CHEMBL3705476,0.5,0.49817823858836585,0.0,0.0,0.623+/-0.06,0.693+/-0.037,0.733+/-0.015,0.768+/-0.033,0.81+/-0.021
CHEMBL3706128,0.392578125,0.3961389455667898,0.0,0.0,0.651+/-0.032,0.701+/-0.058,0.76+/-0.02,0.781+/-0.061,
